TOWN,TOWN_ID,COUNTY,town_join,treatment_facility_count,peer_recovery_count,ssp_count,harm_reduction_count,has_treatment,has_peer_recovery,has_ssp,has_harm_reduction,service_diversity_score,avg_deaths_2021_2023,avg_ems_incidents_2022_2023,overdose_death_rank,ems_incident_rank,combined_burden_rank_score,overdose_death_burden_pct,ems_burden_pct,combined_burden_pct,access_coverage_pct,recovery_access_gap_score,gap_category,estimated_population,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,EP_NOVEH,EPL_NOVEH,EP_POV150,EPL_POV150,EP_UNEMP,EPL_UNEMP,EP_NOHSDP,EPL_NOHSDP,social_vulnerability_pct,final_priority_score,priority_category,nearest_any_service_distance_miles,services_within_5_miles,services_within_10_miles,service_types_within_5_miles,service_types_within_10_miles,nearest_treatment_distance_miles,nearest_peer_recovery_distance_miles,nearest_ssp_distance_miles,nearest_harm_reduction_distance_miles,nearby_access_coverage_pct,distance_adjusted_priority_score,nearest_service_access_category,anchor_priority_score,anchor_priority_level,access_gap_level,anchor_priority_rank
WESTPORT,334,BRISTOL,WESTPORT,0,0,0,0,0,0,0,0,0,4.666666666666667,28.0,96.0,96.0,192.0,0.7193732193732194,0.7279202279202279,0.7236467236467237,0.0,0.7236467236467237,High gap,16329.686044019158,0.288769822619964,0.4542631835350486,0.5635454190536824,0.0410425244698838,0.1086496544914934,2.497885178274321,0.1838181479294618,9.672008874970608,0.3735022135811972,3.11447708615384,0.2781643212499231,9.34012655217746,0.6064700191041804,0.288769822619964,0.932614059673706,High priority,5.377539711791062,0,4,0,4,5.377539711791062,9.050481418475863,7.528648162493967,7.266463162734853,1.0,0.606199138787909,Moderate distance,0.606199138787909,High priority,High gap,53
WALTHAM,308,MIDDLESEX,WALTHAM,3,0,0,0,1,0,0,0,1,15.0,110.5,29.0,31.0,60.0,0.9173789173789174,0.9145299145299144,0.915954415954416,0.25,0.686965811965812,High gap,64708.79583937799,0.4730963581646787,0.4256908016488196,0.3401184072733321,0.6608181867294486,0.5933634523364256,6.717979344331804,0.4060106324951588,17.20609163640288,0.5281817661846433,3.158733097704057,0.2929044562416639,7.259112150753419,0.5006996462141631,0.4730963581646787,1.0119668357904792,High priority,1.298237792711055,2,4,2,4,1.298237792711055,8.719867612651095,7.262810819575207,3.290071441408546,1.0,0.6577784432638115,Very near,0.6577784432638115,High priority,High gap,37
ANDOVER,9,ESSEX,ANDOVER,0,0,0,0,0,0,0,0,0,5.333333333333333,35.0,84.0,76.0,160.0,0.7549857549857549,0.7849002849002849,0.76994301994302,0.0,0.76994301994302,Very high gap,36388.98761373636,0.291818289601034,0.1980496125122337,0.3932422995131803,0.5474638078394782,0.3666949124666865,2.1687279343673747,0.1381852511754072,6.5736434452226495,0.2178631383502755,4.499141689490225,0.4312907713429707,2.883289930732158,0.2328326289194611,0.291818289601034,0.9946264751130468,High priority,3.083572209583312,4,4,4,4,3.083572209583312,4.241885906891687,4.484109131210761,4.231806356304033,1.0,0.6465072088234805,Near,0.6465072088234805,High priority,Very high gap,39
AMHERST,8,HAMPSHIRE,AMHERST,0,0,0,0,0,0,0,0,0,2.0,34.5,158.0,78.0,236.0,0.5313390313390314,0.7792022792022792,0.6552706552706553,0.0,0.6552706552706553,High gap,33387.82731248814,0.381869464094702,0.4842839139153601,0.1718883238856753,0.6110570376490576,0.5770578830954373,8.393658829370953,0.3863676639579458,20.63111442849153,0.5528807255102706,10.42079846856232,0.7179998195722342,1.2582479056227436,0.0960957622935769,0.381869464094702,0.9054985092358446,High priority,5.787413445836436,0,4,0,4,5.787413445836436,7.004474172441673,7.004474172441673,7.004474172441673,1.0,0.5885740310032991,Moderate distance,0.5885740310032991,High priority,High gap,57
SAUGUS,262,ESSEX,SAUGUS,1,0,0,0,1,0,0,0,1,10.666666666666666,97.5,45.0,39.0,84.0,0.8746438746438746,0.8917378917378918,0.8831908831908832,0.25,0.6623931623931625,High gap,28566.43793261272,0.4876964798434967,0.5392139818940153,0.4838568242639789,0.4435071188981404,0.4075584551843245,6.161115355761944,0.3763765187481555,13.090952101920196,0.5029129880958053,3.2504140326137354,0.2895431649461309,9.728868244021337,0.6419347743801072,0.4876964798434967,0.9854399759647094,High priority,0.4536643453867781,4,4,4,4,0.4536643453867781,3.5608197866230613,3.5608197866230613,2.186433450734651,1.0,0.6405359843770612,Very near,0.6405359843770612,High priority,High gap,41
MARSHFIELD,171,PLYMOUTH,MARSHFIELD,0,0,0,0,0,0,0,0,0,6.0,25.5,76.0,106.0,182.0,0.7834757834757835,0.6994301994301995,0.7414529914529915,0.0,0.7414529914529915,High gap,25781.41613909352,0.1953305202314937,0.359644769139565,0.2866889579780476,0.069594961466431,0.1977597460639423,3.0607741026389674,0.1942636872727368,10.661090746474034,0.3746036590458308,3.5144444611957524,0.3513279433523892,3.048551225276801,0.2466550829304302,0.1953305202314937,0.8862813900007015,Moderate priority,8.267988739799142,0,1,0,1,10.049582383432252,14.49895561062339,14.49895561062339,8.267988739799142,0.25,0.8087317683756401,Moderate distance,0.8087317683756401,Very high priority,High gap,16
BRIDGEWATER,42,PLYMOUTH,BRIDGEWATER,0,0,0,0,0,0,0,0,0,3.6666666666666665,36.0,112.0,75.0,187.0,0.6737891737891738,0.7891737891737892,0.7314814814814815,0.0,0.7314814814814815,High gap,28530.701159535543,0.3205005121893742,0.3884383355863375,0.3164874460241306,0.3031622758584604,0.3968781386316939,2.8608311373766,0.1972161700827677,17.434791785294834,0.4206908900473999,6.600117389224931,0.4656073654947841,4.36625689386589,0.2976740361810391,0.3205005121893742,0.9659216709533386,High priority,4.641694137543188,1,4,1,4,7.830231999636009,8.075636356785019,8.075636356785019,4.641694137543188,1.0,0.62784908611967,Near,0.62784908611967,High priority,High gap,44
FAIRHAVEN,94,BRISTOL,FAIRHAVEN,0,0,0,0,0,0,0,0,0,5.0,28.5,91.0,92.0,183.0,0.7378917378917379,0.7364672364672364,0.7371794871794872,0.0,0.7371794871794872,High gap,15898.907904775711,0.4480694953399495,0.5550512000356117,0.5485273000334627,0.0807897885944848,0.3882693870046288,6.683328959652266,0.4230379399080482,13.726838044649352,0.4972242116659183,5.073625586643227,0.5540232460721037,7.909509902156801,0.5843419939263691,0.4480694953399495,1.067487127974963,High priority,2.974822273578091,3,3,3,3,2.974822273578091,3.4320891883071543,14.8930046823044,2.974822273578091,0.75,0.7872717568815352,Near,0.7872717568815352,Very high priority,High gap,17
WEST SPRINGFIELD,325,HAMPDEN,WEST SPRINGFIELD,4,0,0,0,1,0,0,0,1,13.333333333333334,111.0,34.0,30.0,64.0,0.9031339031339032,0.9173789173789174,0.9102564102564104,0.25,0.6826923076923077,High gap,28754.864851531547,0.561911448748759,0.6123746607897155,0.5090474941828086,0.4328177112801177,0.5167463309388705,9.633724375127883,0.5093999909683812,20.294874750935328,0.5773334599248418,5.924489983433767,0.4782837857637817,9.302146424543418,0.608467803470176,0.561911448748759,1.0663049313573258,High priority,0.8472190597702071,5,5,4,4,0.8472190597702071,3.520379920103138,0.8472190597702071,2.304745738698537,1.0,0.6930982053822619,Very near,0.6930982053822619,Very high priority,High gap,33
STOUGHTON,285,NORFOLK,STOUGHTON,2,0,0,0,1,0,0,0,1,9.333333333333334,60.0,47.0,54.0,101.0,0.8675213675213675,0.8490028490028491,0.8582621082621082,0.25,0.6436965811965811,High gap,29054.70817785324,0.4965428515761094,0.493953115122979,0.5759049729746056,0.6552247337736983,0.3515400104908306,5.594050752164685,0.3635254842282397,13.726555230712163,0.433191721911081,4.836607417892045,0.5162408978495079,9.177949432344064,0.6211625944309458,0.4965428515761094,0.9633195171737242,High priority,0.506236001538547,4,4,4,4,0.506236001538547,4.204312305631279,4.204312305631279,3.5704446472522946,1.0,0.6261576861629208,Very near,0.6261576861629208,High priority,High gap,45
